id,Russian,English,orthography,transcription,prs,form2,form3,pos,additional_forms,kk,jena200,gld110,def_RU,context
819,ТЕРЯТЬ,LOSE,бетеду,-etidegu,бетида эгу (бетидегу),бета,бетаби,v,вота йета бета бети рети,7,0,0,Утратить знание о местоположении предмета.,"1. Я потерял ключ, но потом нашёл. 2. Я часто теряю инструменты, но потом нахожу."
820,ОТПУСКАТЬ,RELEASE,этеду,etidegu,этида эгу (этидегу),эти,эта,v,,30,0,0,Позволить человеку уйти.,1. Его отпустили из тюрьмы. 2. Мама отпустила сына погулять.
821,ДЕНЬГИ,MONEY,гӀарци,ʕarci,,гӀарцил,гӀарцалди,n,,0,0,0,"Основное средство обмена, принимаемое всеми участниками экономики.",1. У него много денег. 2. Без денег жить плохо.
822,БОГАТЫЙ,RICH,бечидав,bečidaw,,,,adj,бечидабе гӀадамади - богатые люди,0,0,0,Имеющий много денег.,1. У богатого человека много денег. 2. Отец нашёл дочери богатого жениха.
823,БЕДНЫЙ,POOR,мискинув,miskinuw,,,,adj,,0,0,0,Имеющий мало денег.,1. У бедного человека мало денег. 2. Она вышла замуж за бедного учителя.
824,НИЩИЙ,BEGGAR,патихӀа,patiħa,,патихӀащуб,патихӀади,adj,,0,0,0,"Человек, регулярно просящий деньги у других людей и живущий с их подаяний.","1. Нищие просят деньги у прохожих. 2. Быть нищим стыдно, нужно работать."
825,ДАВАТЬ В ДОЛГ,LEND,къарзлъила бихьеду,qʼarzɬila -ixide,,къарзлъила бихьи,къарзлъила бихья,v,"вухьи, йихьи, бихьи, бихьи, рихьи",0,0,0,"Давать деньги другому человеку с договорённостью, что тот их вернёт.","Расул дал Мураду в долг 100 рублей, но тот их не вернул."
826,ЗАНИМАТЬ,BORROW,къарзлъила бигьеду,qʼarzɬila -ihidegu,къарзлъила бигьида эгу (къарзлъила бигьидегу),къарзлъила бигьи,къарзлъила багьа,v,"вугьи, йигьи, бигьи, бигьи, ригьи",0,0,0,"Брать деньги у другого человека, обещая их вернуть.",Мурад взял денег в долг у Расула и вернул их через месяц.
827,ДОЛГ (ДЕНЕЖНЫЙ),DEBT (FINANCIAL),гьеби,hebi,,гьебал,гьебалди,n,,0,0,0,"Деньги, взятые в долг у другого человека.","У него очень большой долг, он никогда не сможет его вернуть."
828,ПОКУПАТЬ,BUY,бигьеду,-ihidegu,бигьида эгу (бигьидегу),бигьи,багьа,v,вугьи йигьи бигьи бигьи ригьи,15,0,0,"Получить в обмен на деньги. (Concepticon, изм.)","1. Чтобы купить дом, нужно много денег. 2. Мурад купил машину у Расула."
829,ПРОДАВАТЬ,SELL,бихьеду,-ixidegu,бихьида эгу (бихьидегу),бихьи,бихья,v,вухьи йихьи бихьи бихьи рихьи,13,0,0,Предоставить товар или услугу в обмен на деньги. (Concepticon),"У Мурада было мало денег, и он продал свою машину."
830,"ТОРГОВЛЯ, ОБМЕН","TRADE, BARTER",даран,daran,,даранлъил,-,n,,0,0,0,Обмен товарами и/или деньгами.,1. Х занимаются торговлей. 2. Он заработал много денег торговлей. 3. В последние годы торговля ослабла.
831,ЦЕНА,PRICE,багьа,baha,,багьал,багьабади,n,,0,0,0,"Количество денег, уплачиваемое за единицу товара или услуги. (Concepticon)",1. Цену устанавливает продавец. 2. Я попросил продавца снизить цену.
832,ДОРОГОЙ,EXPENSIVE,ххирасс,χːirasː,,,,adj,,0,0,0,Имеющий высокую цену.,"Эта машина дорогая, я не могу её купить."
833,ДЕШЁВЫЙ,CHEAP,учузисс,učuzisː,,,,adj,,0,0,0,Имеющий низкую цену.,"Эта машина слишком дешёвая, она будет плохо ездить."
834,ВЕСИТЬ,WEIGH (INTR),генеду,gendegu,генда эгу (гендегу),гени,гена,v,,0,0,0,"Иметь вес, равный какому-либо значению.",1. Старший сын весит больше младшего. 2. Сколько весит этот мешок? - Гьинк1явал вохьящуд кьанихъ гени  мук1увщуч1. Чами килу генуб къелъинад?
835,"ЗА, СЗАДИ",BEHIND,гьедахх,hedaχː,,,,adv,,494,0,0,"С тыльной, задней (не видной говорящему) стороны предмета.","1. За той горой есть другое селение. 2. Он остался сзади, надо его подождать."
836,ВНИЗУ,BELOW,кекьи,keʟʼi,,,,adv,,492,0,0,"На меньшей высоте, чем говорящий.","Мы стоим на горе, селение находится внизу."
837,РАНЬШЕ,BEFORE,гьинкӀва,hinkʼʷa,,,,adv,,0,0,0,"В момент, предшествующий во времени настоящему. Избегать маркированных выражений ‘в старые времена’  и т.д.","Раньше Магомед жил в селении, а теперь живёт в городе."
838,ВПЕРЕДИ,IN FRONT,ссе,sːe,,,,adv,,493,0,0,"Перед лицом говорящего, в направлении его взгляда.","Впереди высокая гора, давайте отдохнём."
839,ВНУТРИ,INSIDE,гьини,hini,,,,adv,,495,0,0,"Внутри помещения или сосуда. Избегать специальных выражений со значением ‘дома’, ‘в здании’.","1. Где Расул? — На улице темно, он уже внутри. 2. Вот коробка. Твой подарок внутри. 3. Внутри этот дом красивее, чем снаружи."
840,СНАРУЖИ,OUTSIDE,къотӀи,qʼоtʼi,,,,adv,,0,0,0,Вне помещения или сосуда. Избегать специальных выражений со значением ‘на улице’.,"1. Где Расул? — Он снаружи, вышел. 2. Снаружи этот дом красивее, чем внутри."
841,ВВЕРХУ,ABOVE,кельа,kelʔa,,,,adv,,491,0,0,"На большей высоте, чем говорящий.","Мы стоим в долине, селение — наверху."
842,МЕЖДУ,BETWEEN,бакьихъ,baʟʼiq,,,,adv,,496,0,0,"В промежутке, разделяющем два объекта. (Concepticon)",На свадьбе я сидел между Расулом и Мурадом.
843,МЕСТО,PLACE,макӀа,makʼa,,"макӀалъил, макӀал",макӀалди,n,,471,0,0,Положение или область в пространстве. (Concepticon),1. Селение стоит в очень красивом месте. 2. Это место называется Х.
844,ПРЕДМЕТ,THING,даН,dã,,данул,дандиби,n,,470,0,0,Общее обозначение для отдельного предмета.,1. В сарае много разных предметов. 2. Что это за предмет?
845,КЛАСТЬ,PUT,билъеду,biɬidegu,билъида эгу (билъидегу),билъи,билъа,v,вулъи йилъи билъи билъи рилъи,46,0,0,"Перемещать объект на какую-либо поверхность, оставляя его там.",Он положил молоток на стол.
846,САДИТЬСЯ,SIT DOWN,кӀусуледу,kʼusudegu,кӀусуда эгу (кӀусудегу),кӀусули,кӀусулиби,v,,43,0,0,Принимать положение сидя.,1. Сядь. 2. Он сел и сразу встал.
847,СИДЕТЬ,SIT,см. кӀусуледу,see kʼusuledu,,,,v,,0,143,75,"Самый общий глагол, обозначающий состояние человека, сидящего со спиной в вертикальном положении и ногами в покое. (далее см. CoBL) Во многих языках отсутствует стативный глагол со значением ‘сидеть’ — в них это значение должно заполняться той же лексемой, что и САДИТЬСЯ.","1. Человек может стоять, сидеть и лежать. (GLD) 2. На этом камне/бревне удобно сидеть. (GLD)"
848,ЛОЖИТЬСЯ,LIE DOWN,гиледу,girdegu,гирда эгу (гирдегу),гили,гилиби,v,,45,0,0,Принимать положение лёжа.,1. Ляг. 2. Он лёг и сразу встал.
849,ЛЕЖАТЬ,LIE,см. гиледу,see giledu,,,,v,,0,94,47,"Глагол состояния; не рекомендуется подменять инхоативным глаголом ‘ложиться’, хотя подобного рода практика существует (на самом деле, оба понятия часто выражаются одним и тем же корнем). Строго отличать от лежания в конкретных позах (‘лежать на боку’, ‘лежать ничком’ и т. п.). Ср. аналогичные требования для №75 ‘сидеть’, №80 ‘стоять’. (GLD) Во многих глагол стативный глагол со значением ‘лежать’ отсутствует. Тогда следует заполнять это значение той же лексемой, что и ЛОЖИТЬСЯ.","1. Человек может стоять, сидеть и лежать. (GLD) 2. Почему ты лежишь в постели? (GLD)"
850,ОСТАНАВЛИВАТЬСЯ,HALT (INTR),миНгъеду,-ĩʁidegu,миНгъида эгу (миНгъидегу),миНгъи,миНгъаби,v,вуНгъа йиНгъа миНгъа миНгъи ниНгъи,42,0,0,Прекратить двигаться.,Вол устал и остановился.
851,СТОЯТЬ,STAND,ихитиледу,iχitiledegu,ихитиледа эгу (ихитиледегу),ихитили,ихитилиби,v,,0,158,80,"Самый общий глагол, обозначающий положение человека в покое с выпрямленной спиной на ногах. (см. далее CoBL) Во многих языках стативный глагол ‘стоять’ отсутствует. Тогда следует заполнять это значение инхоативным глаголом.","1. Человек может стоять, сидеть и лежать. (GLD) 2. Он стоит на двух ногах. (GLD) 3. Я устал стоять, я хочу лечь. (GLD)"
852,ВСТАВАТЬ,STAND UP,гьерчӀчӀеду,herčʼːidegu,гьерчӀчӀида эгу (гьерчӀчӀидегу),гьерчӀчӀи,гьерчӀчӀиби,v,,40,0,0,Принимать положение стоя из положения сидя.,1. Встань. 2. Он встал и пошёл к двери.
853,СОБИРАТЬ,GATHER (TR),бакӀариледу,-akʼaridegu,бакӀарида эгу (бакӀаридегу),бакӀарили,бакӀарила,v,вакӀариледу йакӀариледу бакӀариледу бакӀариледу ракӀариледу,29,0,0,Складывать предметы вместе.,1. Ребёнок собрал игрушки. 2. Женщины собирают ягоды.
854,ПОДНИМАТЬ,PICK UP,гьерцӀаледу,hercʼaldegu,гьерцӀалда эгу (гьерцӀалдегу),гьерцӀали,гьерцӀала,v,,41,0,0,Взять предмет с земли рукой.,Я поднял молоток с пола.
855,"ВСОВЫВАТЬ, ПРОДЕВАТЬ",INSERT,кеххеду,keχːidegu,кеххида эгу (кеххидегу),кеххи,кехха,v,,47,0,0,Поместить предмет в специально предназначенное для него место.,Он продел нитку в иголку.
855,"ВСОВЫВАТЬ, ПРОДЕВАТЬ",INSERT,буххаледу,-uχːidegu,буххида эгу (буххидегу),буххали,буххала,v,вуххали,47,0,0,Поместить предмет в специально предназначенное для него место.,Он продел нитку в иголку.
856,ПРИВЯЗЫВАТЬ,BIND (TR),данди маНхьведу,dandi -ãxudegu,данди маНхьуда эгу (данди маНхьудегу),данди маНхьу,данди маНхьва,v,"ваНхьу, йаНхьу, маНхьу, маНхьу, наНхьу",107,0,0,"Присоединить верёвкой движимый объект (например, животное) к недвижимому (например, к дереву).",Он привязал лошадь к дереву.
857,ОТВЯЗЫВАТЬ,UNBIND (TR),бутеду,-utidegu,бутида эгу (бутидегу),бути,бута,v,"вути, йути, бути, бути, рути",109,0,0,"Отсоединить движимый объект (например, животное) от недвижимого (например, дерева), к которому он был привязан верёвкой.",
858,ПРИЛИПАТЬ,STICK (INTR),къабеду,qʼabdegu,къабда эгу (къабдегу),къаби,къабиби,v,,110,0,0,"Принимать состояние, при котором предмет трудно отделить от другого предмета.",Тесто прилипло к столу.
859,ПРИКЛЕИВАТЬ,GLUE (TR),синагьеду,sinahidegu,синагьида эгу (синагьидегу),синагьи,синагьа,v,,111,0,0,Надёжно присоединить один объект к другому без использования гвоздей или другого крепежа.,Он приклеил ножку к столу.
860,ОТКРЫВАТЬ,OPEN (TR),гӀаругьеду,ʕaruhidegu,гӀаругьида эгу (гӀаругьидегу),гӀаругьи,гӀаругьа,v,,101,0,0,"Сделать вход в помещение доступным, убирая препятствие (дверь, ворота и т.д.).","Гости пришли, открой дверь."
861,ОТКРЫВАТЬСЯ,OPEN (INTR),гӀаругьи муНъэду,ʕaruhi -ũʔaʟegu,гӀаругьи муНъалӀа эгу (гӀаругьи муНъалӀегу),гӀаругьи муНъа,гӀаругьи муНъаби,v,"вуНъа, йиНъа, муНъа, муНъу, нуНъу",100,0,0,"(О двери, воротах) Перейти в положение, при котором вход в помещение доступен.","Дул сильный ветер, и дверь открылась."
862,ЗАКРЫВАТЬ,CLOSE (TR),накъеду,naqʼidegu,накъида эгу (накъидегу),накъи,накъа,v,,104,0,0,"Сделать вход в помещение недоступным, устанавливая препятствие (дверь, ворота и т.д.).",Закрой дверь.
863,ЗАКРЫВАТЬСЯ,CLOSE (INTR),накъи муНъеду,naqʼi -ũʔedegu,накъи муНъэда эгу (накъи муНъэдегу),накъи муНъа,накъи муНъаби,v,"вуНъа, йиНъа, муНъа, муНъу, нуНъу",103,0,0,"(О двери, воротах) Перейти в положение, при котором вход в помещение недоступен.","Дул сильный ветер, и дверь закрылась."
864,ОТПИРАТЬ,UNLOCK (TR),рощеду,rоšːidegu,рощида эгу (рощидегу),рощи,роща,v,,102,0,0,Закрыть на ключ.,
865,ЗАПИРАТЬ,LOCK (TR),керщеду,keršːidegu,керщида эгу (керщидегу),керщи,керща,v,,105,0,0,Открыть ключом.,
866,НАКРЫВАТЬ,COVER,бацоледу,-acоldegu,бацолда эгу (бацолдегу),бацоли,бацола,v,вацоли йацоли бацоли бацоли рацоли,0,0,0,"Положить предмет сверху, чтобы убрать объект из виду или защитить его.",Он накрыл яму травой.
867,ПРЯТАТЬ,HIDE (TR),эбаледу,ebaldegu,эбалда эгу (эбалдегу),эбали,эбала,v,эвала (у старших носителей),9,222,0,"Поместить объект в место, где его будет труднее обнаружить или где он не виден. (Concepticon)","1. Он спрятал деньги, чтобы их не украли. 2. В сталинское время сельчане прятали зерно."
868,ПРЯТАТЬСЯ,HIDE (INTR),эбеду,ebdegu,эбда эгу (эбдегу),эби,эбиби,v,,8,0,0,"Переместиться в место, в котором человека не видно другим людям.",Ребёнок спрятался от родителей.
869,ВЫСОКИЙ,HIGH,гьерцӀцӀув,hercʼːuw,,,,adj,,519,0,0,Имеющий сравнительно большой размер в вертикальном измерении.,"1. Дерево высокое, куст — низкий. 2. Это дерево выше того."
870,НИЗКИЙ,LOW,гъардигисс,ʁardigisː,,,,adj,,0,0,0,Имеющий сравнительно небольшой размер в вертикальном измерении.,"1. Дерево высокое, куст — низкий. 2. Это дерево ниже того."
871,ВЕРХУШКА,TOP (N),пурцӀцӀун,purcʼːun,,пурцӀцӀунал,пурцӀцӀунди,n,,0,0,0,Наивысшая точка объекта.,"1. Он поднялся на вершину горы. 2. Я вижу гору, но её вершину не видно из-за тумана."
872,ДНО,BOTTOM (N),гьимъу,himʔu,,гьимъул,гьимъубади,n,,469,0,0,Нижняя поверхность внутренней части сосуда.,1. Кувшин не пустой: на дне осталась вода. 2. Я уронил монету на дно кувшина.
873,"КОНЧИК, ОСТРИЕ",END (OF KNIFE),бал,bal,,баллъил,балди,n,,468,0,0,Острая конечная часть лезвия.,Не трогай острие ножа.
874,КРАЙ,EDGE,регӀил,reʕil,,регӀилул,регӀилди,n,,467,0,0,Граница поверхности. (Concepticon),Убери стакан от края стола.
875,ПРАВЫЙ,RIGHT,битӀубал,bitʼubal,,,,adj,битӀуребал рельиби - правые руки,555,124,0,Находящееся с правой стороны относительного другого объекта. (Concepticon),"1. Вилку держат в левой руке, нож — в правой. 2. Мой левый глаз видит лучше, чем правый."
876,ЛЕВЫЙ,LEFT,когӀибал,kоʕibal,,,,adj,,556,92,0,Находящееся с левой стороны относительно другого объекта.,"1. Вилку держат в левой руке, нож — в правой. 2. Мой левый глаз видит лучше, чем правый."
877,БЛИЗКО,NEAR,лӀаргьа,ʟarha,,,,adv,,498,108,103,"Самое общее слово, как правило, наречие, обозначающее пространственную близость. Избегать прилагательных и послелогов, если они отличаются. Избегать слов для ‘по соседству’, ‘около’ и т.д. Антоним ДАЛЕКО. (CoBL)","1. Это дерево далеко, я его плохо вижу, а это дерево близко, я его хорошо вижу. (GLD) 2. Туда можно дойти за один день, это близко. (CoBL)"
878,ДАЛЕКО,FAR,чӀчӀиду,čʼːidu,,,,adv,,497,42,101,"Самое общее слово, как правило, наречие, обозначающее высокую степень удалённости в пространстве. Избегать прилагательных и послелогов, если они отличаются. Антоним БЛИЗКО. (CoBL)","1. Он далеко, он меня не слышит. 2. Это дерево далеко, я его плохо вижу, а это дерево близко, я его хорошо вижу. (GLD)"
879,РАСТИ,GROW,щаледу,šːardegu,щарда эгу (щардегу),щали,щалиби,v,,0,0,0,"Увеличиваться в размере, о растении. Отличать от ‘расти’ в значении ‘существовать’ (Во дворе растёт дерево).",У нас во дворе выросло высокое дерево.
880,МЕРИТЬ,MEASURE,маНседу,-ãsidegu,маНсида эгу (маНсидегу),маНси,маНса,v,ваНси йаНси маНси маНси наНси,136,0,0,Достоверно определять количество единицы материала путём рассчитанного сравнения с некоторым стандартом. (Concepticon),"Он померил ткань, чтобы сшить рубашку."
881,ПЯДЬ БОЛЬШАЯ,GREAT SPAN,рекьин,reʟʼin,,рекьинал,рекьинди,n,,45,0,0,Расстояние между большим пальцем и мизинцем.,Он отрезал 7 пядей ткани.
882,ПЯДЬ МАЛАЯ,LITTLE SPAN,хъату,qatu,,,,n,,46,0,0,Расстояние между большим и указательным пальцем.,Он отрезал 7 пядей ткани.
883,БОЛЬШОЙ,BIG,"гьинкӀяб, гьинкӀяхӀаб","hink’ʲaħab, hink’ʲab",,,,adj,,521,11,5,"Антоним «маленького». Самый общий термин, как правило, прилагательное, относящийся к большому размеру неодушевлённого объекта.","1. Муравей очень маленький. 2. Этот камень большой, а тот — маленький."
884,МАЛЕНЬКИЙ,SMALL,мукӀуб,mukʼub,,,,adj,,522,147,78,"Антоним «большого». Самое общее слово, как правило, прилагательное, относящееся к малому физическому размеру неодушевлённого предмета. (CoBL)","1. У этого человека большой нос, а у того — маленький. (GLD) 2. Это большой камень, а это — маленький. (CoBL)"
885,ДЛИННЫЙ,LONG,беххилаб,-eχːila-,,,,adj,реххиларе рельиби - длинные руки,518,97,49,"Обладающий большим расстоянием от одной крайней точки до другой крайней точки. (Concepticon) О физических объектах. Не смешивать с ‘высокий’ (вертикальное положение) в тех языках, которые различают эти два слова. Антоним — №105 ‘короткий’. (GLD)","1. Вот длинная палка, а вот короткая. (GLD) 2. Эта веревка длинная, мне нужна короткая. (GLD) 3. У женщин длинные волосы, у мужчин короткие."
886,КОРОТКИЙ,SHORT,бачакӀуб,-ačakʼu-,,,,adj,рачакӀуре рельиби - короткие руки,520,141,105,"Базовый антоним ‘длинного’, далее см. CoBL.","1. Вот длинная палка, а вот короткая. (GLD) 2. Эта веревка длинная, мне нужна короткая. (GLD) 3. У женщин длинные волосы, у мужчин короткие."
887,ШИРОКИЙ,WIDE,имуб,imub,,,,adj,,525,196,0,"Имеется в виду значение, противоположное ‘узкому’ (т.е. об областях, промежутках), а не ‘тонкому’ (т.е. об объектах). Таким образом, лексема должна быть самым обычным прилагательным для референции к (горизонтальному) промежутку или пространству между двумя сторонами, а не к (горизонтальнрой) ширине объекта или человека. (CoBL, см. далее)","Здесь ущелье широкое, дальше оно узкое. (CoBL)"
888,УЗКИЙ,NARROW,чӀчӀедируб,čʼːedirub,,,,adj,,526,107,0,"О промежутке, в противоположность ‘широкому’. *Не* об объекте, *не* антоним ‘толстого’. (CoBL)","Здесь ущелье широкое, дальше оно узкое. (CoBL)"
889,ТОЛСТЫЙ,THICK,бещаб,-ešːa-,,,,adj,рещаре кораби - толстые веревки,527,171,0,"Самое общее слово, описывающее сравнительно большое расстояние между противоположными поверхностями (лицевой и тыльной сторонами) объекта. (далее см. CoBL) Многие языки различают два вида значения ‘толстый’: 1D (верёвка) и 2D (стена). Основным словом должно быть словом со значением 2D. Другое слово можно ввести как синоним.","1. Этот ствол толстый, его придётся долго рубить. (CoBL) 2. Эта шкура толстая, а эта — тонкая. 3. Эта верёвка толстая, а эта — тонкая."
890,ТОНКИЙ,THIN,бельараб,-elʔara-,,,,adj,рельараре кораби - тонкие веревки,528,172,107,"Самое общее слово, описывающее сравнительно небольшое расстояние между противоположными поверхностями (лицевой и тыльной сторонами) объекта. (далее см. CoBL) Многие языки различают два вида значения ‘тонкий’: 1D (верёвка) и 2D (стена). Основным словом должно быть словом со значением 2D. Другое слово можно ввести как синоним.","1. Этот стебель тонкий, его легко сломать. 2. Эта шкура толстая, а эта — тонкая. 3. Эта верёвка толстая, а эта — тонкая."
891,ГЛУБОКИЙ,DEEP,ххотуб,χːоtub,,,,adj,,524,,,Имеющий нижнюю поверхность на далёком расстоянии от верхней.,"1. Море глубокое, река мелкая. 2. Здесь глубоко, можно утонуть."
892,МЕЛКИЙ,SHALLOW,лъелъира,ɬeɬira,,,,adj,"хотуб гьачӀуб иххи, лъелъира - мелкая река",523,,,Имеющий нижнюю поверхность на маленьком расстоянии от верхней.,"1. Море глубокое, река мелкая. 2. В этом месте можно перейти реку, здесь она мелкая."
893,ПЛОСКИЙ,FLAT,тӀибитӀуб,tʼibitʼub,,,,adj,,0,,,Не имеющий перепадов высоты. (Concepticon),"1. Стол плоский. 2. Раньше люди думали, что Земля плоская."
894,ПРЯМОЙ,STRAIGHT,битӀуб,-itʼu-,,,,adj,ритӀуре рельиби - прямые руки,548,162,0,"Самое общее прилагательное, описывающее путь прямой, не изогнутой линии. (далее см. CoBL)","1. Эта палка прямая, а та — кривая. (CoBL) 2. От нашего селения до ХХ прямая дорога."
895,КРИВОЙ,CROOKED,макӀяб,makʼʲab,,,,adj,,547,0,0,"Антоним понятия ПРЯМОЙ — линия, имеющая изгибы.","1. Эта палка прямая, а та — кривая. (CoBL) 2. Лезвие сабли кривое."
896,КРЮК,HOOK,гъанцӀа,ʁancʼa,,гъанцӀул,гъанцӀиби,n,,0,0,0,"Металлический прут, согнутый в закруглённую форму и предназначенный для того, чтобы ловить, держать и подвешивать различные объекты. (Concepticon)",1. Он повесил мясо на крюк. 2. Рыба проглотила червяка и попала на крюк.
897,УГОЛ,CORNER,бокӀун,bоkʼun,,бокӀунал,бокӀунди,n,мисул бокӀунлъини - в углу комнаты,376,0,0,"Область вокруг точки, где встречаются две соединённые стены. (Concepticon) Если язык проводит различие между внутренним и внешним углом, внутренний угол должен быть выбран как основной вход.",В углу комнаты много пыли.
898,КРЕСТ,CROSS,хъанч,qanč,,хъанчлъил,хъанчди,n,,0,0,0,"Фигура, образуемая пересечением двух прямых линий. В дагестанском контексте почти исключительно ассоциируется с символом христианства.",У христиан на церквях кресты.
899,КРУГЛЫЙ,ROUND,гиргямуб,girgʲamub,,,,adj,,517,130,70,"При наличии, общий термин для объёмных (мяч) и плоских (тарелка) объектов. При отсутствии такой лексемы вводить термины как синонимы, отмечая 3D как небазовый.",1. Вот круглый камень. (GLD) 2. Вот круглый плод. (GLD) 3. Вот круглое блюдо. (GLD)
900,МЯЧ,BALL,торгӀу,tоrʕu,,торгӀул,торгӀаби,n,,0,0,0,"Сферический объект, средство для игры.",1. Дети на улице играют в мяч. 2. Мяч круглый.
901,ДЫРА,HOLE,кяртӀи,kʲartʼi,,кяртӀилул,кяртӀаби,n,,466,0,0,"Отверстие, сквозная пустота в объекте.",1. Он просверлил дыру в доске. 2. В стекле дыра от пули.
902,ЯМА,PIT,габда,gabda,,габдил,габдиби,n,,411,0,0,Отверстие в земле.,1. Он накрыл яму листьями. 2. Расул вырыл во дворе яму.
903,ПОХОЖИЙ,SIMILAR,ролъунаб,rоɬunab,,,,adj,,557,0,0,Имеющий общий набор свойств с другим объектом.,"1. Братья похожи друг на друга. 2. Он встретил человека, похожего на Х (подставить имя известного человека)."
904,ДРУГОЙ,OTHER,цебла,cebla,,цеблалъил,цебела,adj,,0,0,0,"Относящийся к той же группе, что и объект, обозначаемый существительным. При наличии разных слов по умолчанию выбирается ‘другой (из двух)’; другое слово можно ввести как неосновное.","Он взял палку в одну руку, сумку — в другую."
905,МЕНЯТЬ,EXCHANGE,берхьеду,-erxudegu,берхьуда эгу (берхьудегу),берхьу,берхьва,v,ворхьу йерхьу берхьу берхьу рерхьу,18,0,0,Отдать одну вещь и получить другую как эквивалент.,Он поменял X на Y.
906,ОДИН,ONE,цеб,ceb,,целъил,цеби,num,,558,115,65,"Первое число натурального ряда (1). Количественное числительное. Желательно отличать от соответствующего элемента при счете один (раз), два, три, четыре… Контексты те же, что и при №91 ‘два’. (GLD)","1. На земле лежит один лист, а на дереве висит много листьев. (GLD) 2. Вот один камень, вот два камня, вот три камня. (GLD)"
907,ДВА,TWO,кӀекӀи,kʼekʼi,,кӀекӀилъил,кӀебади,num,,559,183,0,Количественное числительное 2.,У всех людей два глаза.
908,ТРИ,THREE,лъаби,ɬabi,,лъабилъил,лъабибади,num,,560,176,0,Количественное числительное 3.,У него трое детей: сын и две дочери.
909,ЧЕТЫРЕ,FOUR,боъу,bоʔu,,боъулъил,боъубади,num,,561,59,0,Количественное числительное 4.,У кошки четыре ноги.
910,ПЯТЬ,FIVE,ищду,išːdu,,ищдулъил,ищдубади,num,,562,52,0,Количественное числительное 5.,На руке пять пальцев.
911,ШЕСТЬ,SIX,инлӀи,inʟi,,инлӀилъил,инлъибади,num,,563,0,0,Количественное числительное 6.,
912,СЕМЬ,SEVEN,гьакьу,haʟʼu,,гьакьулъил,гьакьубади,num,,564,0,0,Количественное числительное 7.,
913,ВОСЕМЬ,EIGHT,бикьи,biʟʼi,,бикьилъил,бикьибади,num,,565,0,0,Количественное числительное 8.,
914,ДЕВЯТЬ,NINE,гьачӀва,hačʼʷa,,гьачӀвалъил,гьачӀвабади,num,,566,0,0,Количественное числительное 9,
915,ДЕСЯТЬ,TEN,гьацӀа,hacʼa,,гьацӀалъил,гьацӀабади,num,,567,0,0,Количественное числительное 10.,
916,ОДИННАДЦАТЬ,ELEVEN,гьацӀалцеб,hacʼalceb,,гьацӀалцеблъил,гьацӀалцебди,num,,568,0,0,Количественное числительное 11.,
917,ДВЕНАДЦАТЬ,TWELVE,гьацӀалкӀекӀи,hacʼalkʼekʼi,,гьацӀалкӀекӀилъил,гьацӀалкӀекӀибади,num,,569,0,0,Количественное числительное 12.,
918,ДВАДЦАТЬ,TWENTY,къинду,qʼindu,,къиндулъил,къиндубади,num,,570,0,0,Количественное числительное 20.,
919,ТРИДЦАТЬ,THIRTY,лъаману,ɬamanu,,лъаманулъил,лъаманубади,num,,571,0,0,Количественное числительное 30.,
920,СТО,HUNDRED,бехьян,bexʲan,,бехьянлъил,бехьянди,num,,572,0,0,Количественное числительное 100.,
921,ТЫСЯЧА,THOUSAND,гӀазар,ʕazar,,гӀазарлъил,гӀазарди,num,,573,0,0,Количественное числительное 1000.,
922,ПЕРВЫЙ,FIRST,эссибасс,esːibasː,,,,adj,,0,0,0,"Не имеющий предшествующего элемента. Порядковое числительное, соответствующее числу 1. (Concepticon)",1. Адам — первый человек. 2. Первый день недели — понедельник.
923,ПОСЛЕДНИЙ,LAST,гьечӀариласс,hečʼarilasː,,,,adj,,0,0,0,Не имеющий следующего элемента.,1. Николай II — последний русский император. 2. Воскресенье — последний день недели.
924,ВТОРОЙ,SECOND,кӀекӀидуб,kʼekʼidub,,,,adj,,0,0,0,"Порядковое числительное, соответствующее числу 2.",На соревнованиях он пришёл вторым.
925,СЧИТАТЬ,COUNT,бигвагьеду,-igʷahidegu,бигвагьида эгу (бигвагьидегу),бигвагьи,бигвагьа,v,вугвагьи йигвагьи бигвагьи бигвагьи ригвагьи,214,25,0,Определять количество предметов.,1. Я посчитал камни: их было пять. 2. Он посчитал баранов; двух не хватало.
926,ВСЕ (МН.Ч.),ALL (PL.),эгубеги,egubegi,,эгубегилуб,-,pron,,0,0,1,"‘Все’ применительно к совокупности объектов (латин. omnis). Отличать от ‘каждый’ (см. контекст 3). По возможности отличать от «сингулярного» ‘весь’ (латин. totus; контексты вроде: Вся вода в озере/луже высохла/заледенела; Он съел всё мясо), которое мы рекомендуем исключить из списка. (GLD)",1. Он срубил все деревья. (GLD) 2. Он убил всех животных. (GLD) 3. Все эти мужчины — братья. (GLD)
927,ВЕСЬ (ЕД.Ч.),ALL (SG.),тӀолгу,tʼоlgu,,тӀолгулъил,-,pron,,0,0,0,Полный состав предмета или вещества.,1. От землетрясения затрясся весь дом. 2. Он побывал во всём Дагестане.
928,КАЖДЫЙ,EVERY,живжив,žiwžiw,,,,pron,,482,0,0,Дистрибутивный квантификатор.,Каждый ребёнок выучил по стихотворению.
929,МНОГО,MANY,кьанихъ,ʟʼaniq,,,,n,,504,0,53,"Неопределённо большое количество объектов. (Concepticon) Прилагательное или наречие, употребляется со счетными объектами.",1. На земле лежит много камней. (GLD) 2. У меня много друзей. (GLD)
